state,_25,_50,_75
alabama,19000,37014,60150
alaska,20000,41269,71113
arizona,20000,36000,62000
arkansas,19440,33300,59000
california,20000,39500,73483
colorado,24202,42126,76924
connecticut,25001,46997,80001
delaware,20600,40000,67159
district of columbia,30000,60000,100909
florida,20000,36370,60239
georgia,20000,36014,64002
hawaii,21000,40000,71002
idaho,19250,36518,60907
illinois,20001,40110,70015
indiana,19000,36755,60086
iowa,22010,39375,61501
kansas,20003,40000,65056
kentucky,20000,36091,63040
louisiana,17000,34089,60003
maine,18510,35010,60010
maryland,25000,48429,88220
massachusetts,23000,45000,81051
michigan,20000,40002,68905
minnesota,21000,43000,71030
mississippi,18000,32000,52025
missouri,20000,36010,64400
montana,20000,38001,63330
nebraska,20050,38400,62363
nevada,20000,35000,55134
new hampshire,22406,45121,75000
new jersey,22000,45035,82009
new mexico,17800,32000,57259
new york,21532,40101,74210
north carolina,20000,36940,64375
north dakota,22001,40000,63705
ohio,19500,37000,65473
oklahoma,19000,35000,60027
oregon,20003,40000,70200
pennsylvania,20426,40002,70450
rhode island,21000,41275,70309
south carolina,20000,38000,65037
south dakota,20000,36952,56025
tennessee,20000,35520,61678
texas,19000,36008,65000
utah,17608,37001,64202
vermont,20505,40000,65000
virginia,20108,42002,80010
washington,20250,43272,78170
west virginia,19200,35010,60016
wisconsin,19500,36000,60002
wyoming,18536,37501,65001
