State,Average,Median,25th Percentile,75th Percentile,90th Percentile,Top 1%
Alabama,53236.4,37014,19000,60150,100006,300700
Alaska,55047.01,41269,20000,71113,105100,268109
Arizona,50042.1,36000,20000,62000,105000,228942
Arkansas,49105.78,33300,19440,59000,95602,273568
California,59577.19,39500,20000,73483,126001,327272
Colorado,62233.52,42126,24202,76924,122029,334625
Connecticut,63773.52,46997,25001,80001,129838,290578
Delaware,54400.05,40000,20600,67159,110090,271586
District of Columbia,84270.48,60000,30000,100909,168018,500160
Florida,52153.09,36370,20000,60239,101191,291000
Georgia,51936.64,36014,20000,64002,103058,300048
Hawaii,56357.85,40000,21000,71002,115503,282499
Idaho,49627.72,36518,19250,60907,95000,260810
Illinois,58702.25,40110,20001,70015,112400,362006
Indiana,48227.03,36755,19000,60086,97000,242706
Iowa,50007.64,39375,22010,61501,95002,258390
Kansas,53603.05,40000,20003,65056,102211,318788
Kentucky,50641.25,36091,20000,63040,104999,264999
Louisiana,48426.79,34089,17000,60003,96666,295894
Maine,46793.79,35010,18510,60010,93370,223125
Maryland,65262.99,48429,25000,88220,139079,303999
Massachusetts,65723.1,45000,23000,81051,140270,382448
Michigan,53584.31,40002,20000,68905,107013,250003
Minnesota,55639.07,43000,21000,71030,110025,265236
Mississippi,41878.65,32000,18000,52025,83007,216728
Missouri,51628.71,36010,20000,64400,100200,259149
Montana,49947.54,38001,20000,63330,100010,231169
Nebraska,51843.58,38400,20050,62363,100148,255000
Nevada,48909.02,35000,20000,55134,90000,303450
New Hampshire,58385.09,45121,22406,75000,120538,289490
New Jersey,64570.42,45035,22000,82009,140394,335053
New Mexico,46206.61,32000,17800,57259,96000,214040
New York,63077.72,40101,21532,74210,125070,414508
North Carolina,52517,36940,20000,64375,110000,280762
North Dakota,50721.16,40000,22001,63705,100000,221999
Ohio,51840.18,37000,19500,65473,102130,260169
Oklahoma,48101.08,35000,19000,60027,95050,250015
Oregon,54416.21,40000,20003,70200,120000,251701
Pennsylvania,59107.29,40002,20426,70450,120000,378799
Rhode Island,56802.77,41275,21000,70309,113831,300003
South Carolina,53952.65,38000,20000,65037,104816,330000
South Dakota,49513.84,36952,20000,56025,90004,286117
Tennessee,55274.72,35520,20000,61678,102500,393420
Texas,52058.54,36008,19000,65000,107442,266902
Utah,50619.85,37001,17608,64202,104020,239720
Vermont,54750.18,40000,20505,65000,104028,300442
Virginia,60759.15,42002,20108,80010,126614,320000
Washington,62811.98,43272,20250,78170,127002,390022
West Virginia,46273.06,35010,19200,60016,88270,201651
Wisconsin,49582.64,36000,19500,60002,98455,272081
Wyoming,49767.32,37501,18536,65001,94467,260002
